studyID,AuthorYear,n,r,dose,agent,N
1,1,16,2,41.6,mPSL,16
1,1,8,4,0,Placebo,8
2,2,63,5,19.6,mPSL,63
2,2,28,6,0,Placebo,28
3,3,139,14,150,DEX,139
3,3,138,10,0,Placebo,138
4,4,151,1,150,DEX,151
4,4,148,1,0,Placebo,148
5,5,491,3,120,DEX,491
5,5,480,3,60,DEX,480
6,6,276,11,60,DEX,276
6,6,270,16,150,DEX,270
