studyID,AuthorYear,n,r,dose,agent,N
1,1,16,5,41.6,mPSL,16
1,1,8,4,0,Placebo,8
2,2,63,45,19.6,mPSL,63
2,2,28,18,0,Placebo,28
3,3,98,79,1400,HC,98
3,3,99,67,0,Placebo,99
4,4,139,105,150,DEX,139
4,4,138,97,0,Placebo,138
5,5,151,47,150,DEX,151
5,5,148,42,0,Placebo,148
6,6,21,9,60,DEX,21
6,6,21,21,120,DEX,21
7,7,276,66,60,DEX,276
7,7,270,69,150,DEX,270
