studyID,AuthorYear,n,r,dose,agent,N
1,1,16,2,41.6,mPSL,16
1,1,8,5,0,Placebo,8
2,2,89,27,37.8,mPSL,89
2,2,91,26,0,Placebo,91
3,3,63,17,19.6,mPSL,63
3,3,28,14,0,Placebo,28
4,4,137,40,1400,HC,137
4,4,146,35,600,HC,146
4,4,101,33,0,Placebo,101
5,5,16,7,1400,HC,16
5,5,14,3,0,Placebo,14
6,6,491,157,120,DEX,491
6,6,480,180,60,DEX,480
7,7,49,23,120,DEX,49
7,7,49,23,60,DEX,49
