studyID,AuthorYear,n,r,dose,agent,N
1,1,34,1,41.6,mPSL,16
1,1,18,11,0,Placebo,8
2,2,85,53,1400,HC,85
2,2,92,67,0,Placebo,92
3,3,63,13,19.6,mPSL,63
3,3,28,12,0,Placebo,28
4,4,139,26,150,DEX,139
4,4,138,43,0,Placebo,138
5,5,49,24,120,DEX,49
5,5,49,21,60,DEX,49
6,6,35,3,60,DEX,35
6,6,35,8,1500,HC,35
6,6,36,7,4,mPSL,36
7,7,15,6,6,mPSL,15
7,7,15,4,0,Placebo,15
